regime,model,delta_r2_vs_random,delta_rmse_vs_random,delta_mae_vs_random
group_aut,elastic_net,-0.9176488337647432,-0.47267195040956866,0.011717203988988456
group_aut,lightgbm,-10.62531745106325,1.1433596167852507,0.7068749803194712
group_aut,mlp_regressor,-21745.45051847456,18.86234364669775,15.304471271687097
group_exp,elastic_net,0.0037387310653820924,-0.11876445608343822,0.007386715169542035
group_exp,lightgbm,-0.14564054360419187,0.2062773588475587,0.12325147491906546
group_exp,mlp_regressor,-0.20910359792460342,0.4786351076019434,0.24479778631682456
