regime,split_id,model,r2,rmse,mae,n_train,n_test
random_cv,random_cv_01,elastic_net,0.004957107073611855,1.7717642991014262,0.651886629789996,807,202
random_cv,random_cv_01,lightgbm,0.9159035009272968,0.515079189519168,0.1943020237193399,807,202
random_cv,random_cv_01,mlp_regressor,0.8049207660202867,0.784495697666741,0.22851310900480126,807,202
random_cv,random_cv_02,elastic_net,0.04914332771119578,2.0168012111680085,0.7836993656890876,807,202
random_cv,random_cv_02,lightgbm,0.9251556695476677,0.5658287600821168,0.19792804735810626,807,202
random_cv,random_cv_02,mlp_regressor,0.9363274202076132,0.5218933793115532,0.19844646622892745,807,202
random_cv,random_cv_03,elastic_net,0.008842441792366151,1.829931718819008,0.7127683100350659,807,202
random_cv,random_cv_03,lightgbm,0.8525189299270955,0.7058812993639029,0.22153183111001207,807,202
random_cv,random_cv_03,mlp_regressor,0.9172329420906118,0.5288010335542354,0.18712770530897668,807,202
random_cv,random_cv_04,elastic_net,-0.057599549142692164,2.6497409956391422,1.1567820809446714,807,202
random_cv,random_cv_04,lightgbm,0.8440609279720173,1.0174668519293506,0.3855223556311874,807,202
random_cv,random_cv_04,mlp_regressor,0.8926817604743493,0.8440721409788207,0.3395344984945621,807,202
random_cv,random_cv_05,elastic_net,0.026516082039883204,2.4258221471906483,0.8953614529216112,808,201
random_cv,random_cv_05,lightgbm,0.8843138372431167,0.8362483504107512,0.23807481974673173,808,201
random_cv,random_cv_05,mlp_regressor,0.8931952446533876,0.8035073630678423,0.2479554793777879,808,201
random_cv,random_cv_06,elastic_net,0.03274584338685682,1.9203350290428605,0.7492054976855297,807,202
random_cv,random_cv_06,lightgbm,0.8773211311628715,0.6838983927765929,0.2204463564738494,807,202
random_cv,random_cv_06,mlp_regressor,0.9056352818855373,0.5998069934493989,0.2023347232934674,807,202
random_cv,random_cv_07,elastic_net,-0.0005060608064508809,2.2381041165973747,0.8607426253237611,807,202
random_cv,random_cv_07,lightgbm,0.8810490420784473,0.7717104763050981,0.29777240153164897,807,202
random_cv,random_cv_07,mlp_regressor,0.9481062023035701,0.5097158650600973,0.19799354100721156,807,202
random_cv,random_cv_08,elastic_net,0.04693551079273617,2.21540542549646,0.824953850054689,807,202
random_cv,random_cv_08,lightgbm,0.6409125676381897,1.3598536573599465,0.38640975635890656,807,202
random_cv,random_cv_08,mlp_regressor,0.911315318274246,0.6757971823827494,0.2345170014286286,807,202
random_cv,random_cv_09,elastic_net,0.0020731460384821876,2.164618126659679,0.8566390732400924,807,202
random_cv,random_cv_09,lightgbm,0.8445762327123135,0.8542611419803249,0.30127827130345497,807,202
random_cv,random_cv_09,mlp_regressor,0.9125285900923857,0.6408627064618387,0.233351710409096,807,202
random_cv,random_cv_10,elastic_net,0.00034356216834452447,2.2475638351270844,0.8875086394795042,808,201
random_cv,random_cv_10,lightgbm,0.9242408551692626,0.6187342878877384,0.213738306516264,808,201
random_cv,random_cv_10,mlp_regressor,0.951837418487029,0.49333454836115065,0.19453811961761558,808,201
