method,regime,mean_null_share,mean_real_null_gap,mean_top10_null_fraction,rank_stability,regime_robustness,heuristic_reliability_score
lightgbm_builtin_gain,random_cv,0.0,0.007047782401303303,0.0,0.978958633005054,0.9879813169286855,3.0374177739467725
lightgbm_builtin_gain,leave_one_study_out,0.0,0.007139694117146048,0.0,0.9622433974554464,0.9879813169286855,3.0216216555555926
lightgbm_builtin_gain,group_exp,0.0,0.006806350272784744,0.0,0.9608836173432369,0.9879813169286855,3.0169284369997698
lightgbm_builtin_gain,group_aut,0.0,0.006694296214161892,0.0,0.8877391594751771,0.9879813169286855,2.9426634385454813
elastic_net_coef,random_cv,0.0,0.0,0.0,0.8714279715933883,0.915970412306501,2.7873983838998893
elastic_net_coef,leave_one_study_out,0.0,0.0,0.0,0.8357836447847372,0.915970412306501,2.7517540570912384
elastic_net_coef,group_exp,0.0,0.0,0.0,0.794893110808105,0.915970412306501,2.710863523114606
lightgbm_shap,random_cv,0.12757151852719667,-0.0016874290729866348,0.13333333333333333,0.911548829722331,0.9270068027210884,2.577650780582889
lightgbm_shap,group_exp,0.13461329179615894,-0.0005136176396375377,0.16,0.8691064382161041,0.9270068027210884,2.5014999491410332
elastic_net_coef,group_aut,0.0,0.0,0.0,0.571943017077239,0.915970412306501,2.48791342938374
lightgbm_shap,leave_one_study_out,0.13353097684607873,-0.0012015524346648048,0.11304347826086956,0.7730233613392229,0.9270068027210884,2.453455708953363
lightgbm_shap,group_aut,0.20272090408078586,-0.002171607721151281,0.14,0.5610913705486315,0.9270068027210884,2.1453772691889337
elastic_net_permutation,leave_one_study_out,0.021676133026728255,-1.555864020745116e-05,0.06956521739130435,0.543914331483672,0.6070970206265867,2.059770001692226
lightgbm_permutation,random_cv,0.11325001804454518,-0.0011341478010232938,0.16000000000000003,0.6476657859736162,0.6608354350269187,2.0352512029559895
elastic_net_permutation,group_exp,0.005625478190517004,-0.0002869173305229596,0.06000000000000001,0.45608002370710465,0.6070970206265867,1.9975515661431742
elastic_net_permutation,random_cv,0.004251473882411217,-0.00025827614143134173,0.10666666666666667,0.4439535271607098,0.6070970206265867,1.9401324072382187
lightgbm_permutation,group_exp,0.07331483017860162,-0.0017247643774359021,0.12000000000000002,0.3806847358769001,0.6608354350269187,1.848205340725217
elastic_net_permutation,group_aut,0.04817529182371396,-0.0021016065157039568,0.16,-0.030261874523866937,0.6070970206265867,1.3989217288028728
lightgbm_permutation,group_aut,0.2252731048582671,-0.0005616964669667593,0.18,0.12432189753181214,0.6608354350269187,1.3798842277004637
lightgbm_permutation,leave_one_study_out,0.2457569218603888,-0.011066397114572612,0.23043478260869565,0.14586661813704782,0.6608354350269187,1.330510348694882
