method,regime,split_id,null_share,real_null_gap,top10_null_fraction
lightgbm_builtin_gain,random_cv,random_cv_14,0.0,0.00753869865308575,0.0
lightgbm_builtin_gain,random_cv,random_cv_15,0.0,0.0063965170797052,0.0
lightgbm_permutation,group_aut,group_aut_01,0.0,0.0,0.0
lightgbm_permutation,group_aut,group_aut_02,0.0,0.0,0.0
lightgbm_permutation,group_aut,group_aut_03,0.0,0.00019030355184295,0.0
lightgbm_permutation,group_aut,group_aut_04,0.0,0.0,0.0
lightgbm_permutation,group_aut,group_aut_05,0.0,0.0002816250587310814,0.0
lightgbm_permutation,group_exp,group_exp_01,0.0,0.00026275969753125,0.0
lightgbm_permutation,group_exp,group_exp_02,0.0,0.0022553473561833,0.0
lightgbm_permutation,group_exp,group_exp_03,0.0,0.00202495128557065,0.0
lightgbm_permutation,group_exp,group_exp_04,0.0,0.0,0.0
lightgbm_permutation,group_exp,group_exp_05,0.0,0.0011362529491918002,0.0
lightgbm_permutation,random_cv,random_cv_01,0.0,0.0020509623542235,0.0
lightgbm_permutation,random_cv,random_cv_02,0.0,0.0021800359497443,0.0
lightgbm_permutation,random_cv,random_cv_03,0.0,4.839935129841597e-05,0.0
lightgbm_permutation,random_cv,random_cv_04,0.0,0.00251190748052165,0.0
lightgbm_permutation,random_cv,random_cv_05,0.0,0.00026312544050214996,0.0
lightgbm_permutation,random_cv,random_cv_06,0.0,0.00047861687611265,0.0
lightgbm_permutation,random_cv,random_cv_07,0.0,0.00079937173990105,0.0
lightgbm_permutation,random_cv,random_cv_08,0.0,0.0017355523582900001,0.0
lightgbm_permutation,random_cv,random_cv_09,0.0,0.0014515400910429,0.0
lightgbm_permutation,random_cv,random_cv_10,0.0,0.00140337543311215,0.0
lightgbm_permutation,random_cv,random_cv_11,0.0,0.00121972104096785,0.0
lightgbm_permutation,random_cv,random_cv_12,0.0,0.00156962928245285,0.0
lightgbm_permutation,random_cv,random_cv_13,0.0,0.0011310827720912,0.0
lightgbm_permutation,random_cv,random_cv_14,0.0,0.00115866168985235,0.0
lightgbm_permutation,random_cv,random_cv_15,0.0,0.0023391047697496,0.0
lightgbm_shap,group_aut,group_aut_01,0.0,0.0052688681392931,0.0
lightgbm_shap,group_aut,group_aut_02,0.0,0.00516448277225595,0.0
lightgbm_shap,group_aut,group_aut_03,0.0,0.0033278828752144,0.0
lightgbm_shap,group_aut,group_aut_04,0.0,0.0068230423640578,0.0
lightgbm_shap,group_aut,group_aut_05,0.0,0.00401239189718195,0.0
lightgbm_shap,group_exp,group_exp_01,0.0,0.00568049385506115,0.0
lightgbm_shap,group_exp,group_exp_02,0.0,0.006492290724232901,0.0
lightgbm_shap,group_exp,group_exp_03,0.0,0.00725906774056655,0.0
lightgbm_shap,group_exp,group_exp_04,0.0,0.0058686946493749,0.0
lightgbm_shap,group_exp,group_exp_05,0.0,0.0070805263620378495,0.0
lightgbm_shap,random_cv,random_cv_01,0.0,0.00698739569066775,0.0
lightgbm_shap,random_cv,random_cv_02,0.0,0.007050051696881301,0.0
lightgbm_shap,random_cv,random_cv_03,0.0,0.0066600064850438,0.0
lightgbm_shap,random_cv,random_cv_04,0.0,0.00768599510685005,0.0
lightgbm_shap,random_cv,random_cv_05,0.0,0.00622629678674655,0.0
lightgbm_shap,random_cv,random_cv_06,0.0,0.00567837406091105,0.0
lightgbm_shap,random_cv,random_cv_07,0.0,0.006777379089477649,0.0
lightgbm_shap,random_cv,random_cv_08,0.0,0.0073784650868825,0.0
lightgbm_shap,random_cv,random_cv_09,0.0,0.00683328991835135,0.0
lightgbm_shap,random_cv,random_cv_10,0.0,0.0066659509245016,0.0
lightgbm_shap,random_cv,random_cv_11,0.0,0.0062828487997125,0.0
lightgbm_shap,random_cv,random_cv_12,0.0,0.00675373292156195,0.0
lightgbm_shap,random_cv,random_cv_13,0.0,0.0060752470916458,0.0
lightgbm_shap,random_cv,random_cv_14,0.0,0.0074002452550112,0.0
lightgbm_shap,random_cv,random_cv_15,0.0,0.0064496094201863495,0.0
