regime,model,n_splits_tuned,r2_mean_tuned,r2_sd_tuned,rmse_mean_tuned,rmse_sd_tuned,mae_mean_tuned,mae_sd_tuned,rmse_median,n_splits_original,r2_mean_original,r2_sd_original,rmse_mean_original,rmse_sd_original,mae_mean_original,mae_sd_original,rmse_mean_change,r2_mean_change
group_aut,elastic_net,5,-2.3807347436880404,3.8467526477922203,1.7121581314077177,1.6215373554868238,0.9039483626324465,0.7669195448681982,1.5084577912418031,5,-0.9049824917676856,1.4437129988554716,1.6738055318108165,1.67104956639349,0.8503492518047491,0.7770557841291408,0.03835259959690118,-1.4757522519203548
group_aut,lightgbm,5,-8.389545253682984,17.003626151745323,1.7988650110286613,1.5479308654466089,0.8760421191309602,0.7742845379965319,1.4290069002776684,5,-9.75481220984031,14.156858884053769,1.9057274254482144,1.460267793120895,0.967099225810415,0.7351692828588715,-0.10686241441955313,1.3652669561573259
group_aut,mlp_regressor,5,-54.89258107370809,109.53617403357501,3.6180540636504688,3.831127668228446,1.700622016007753,1.7098220614684756,2.250782783256531,5,-21744.53809353333,48263.88493418767,19.480661019400383,22.37959344916794,15.527241655530272,19.25685496465657,-15.862606955749914,21689.64551245962
group_exp,lightgbm,5,0.6575797868884499,0.1892493544737374,1.1234800995521543,0.5848344806072561,0.4495868689951944,0.23166258731479467,0.9653097106168984,5,0.7248646976187476,0.2026569683660244,0.9686451675105228,0.3865931621193039,0.3834757204100092,0.164123142569866,0.15483493204163157,-0.06728491073029774
group_exp,elastic_net,5,0.1769151843065265,0.3465089494329652,1.870553022625121,1.0067619106822467,0.7502845611737914,0.4274710107275424,1.784706646077438,5,0.0164050730624396,0.096511348148924,2.0277130261369467,0.8791238647512567,0.8460187629853027,0.3125571942405796,-0.15716000351182569,0.1605101112440869
group_exp,mlp_regressor,5,-0.2516168213456426,1.8308899166625392,2.1638522662421353,2.1486120104714677,0.7098345367476172,0.6175008388278245,1.4321100725268674,5,0.703321343305128,0.1198689438994553,1.0969524803045771,0.5373124609015354,0.4675681701599997,0.2485192738727613,1.0668997859375582,-0.9549381646507706
random_cv,lightgbm,15,0.9054628158255613,0.031417732619569545,0.654789632902078,0.14323838858454607,0.23403149586048047,0.05609256465731654,0.6444151746472983,15,0.8705052412229395,0.0699669192727734,0.7623678086629639,0.2240678860695487,0.2602242454909437,0.0649899078649094,-0.10757817576088591,0.03495757460262183
random_cv,mlp_regressor,15,0.8031298340664331,0.09267049493506248,0.9348152743192478,0.26049161531486253,0.3080886526177397,0.09784240022652031,0.8973176400469511,15,0.9124249412297314,0.0390631456385801,0.6183173727026338,0.1177471212150087,0.2227703838431751,0.0384385359194227,0.31649790161661406,-0.10929510716329827
random_cv,elastic_net,15,0.45899349832152375,0.05219463117968188,1.5909459550339418,0.25093111819780184,0.5860474356156901,0.09376809987167169,1.6027211024883703,15,0.0126663419970575,0.0334389432053104,2.146477482220385,0.2930766061286242,0.8386320478157606,0.1186436443283613,-0.5555315271864432,0.44632715632446623
