model,regime,n_outer_folds,mean_rmse_change_tuned_minus_original,median_rmse_change_tuned_minus_original,paired_wilcoxon_p,gap_change_rmse,gap_change_rmse_ci95_low,gap_change_rmse_ci95_high
elastic_net,group_aut,5,0.03835259959690105,0.016399191753634135,0.3125,0.5942062210380593,0.49630240964934474,0.6872854657763595
elastic_net,group_exp,5,-0.1571600035118259,-0.2556415073968412,0.4375,,,
elastic_net,random_cv,15,-0.555531527186443,-0.5709452828521346,6.103515625e-05,,,
lightgbm,group_aut,5,-0.1068624144195531,-0.009757981723066855,0.625,0.0009468628434485709,-0.23757326656963632,0.2010924669354115
lightgbm,group_exp,5,0.1548349320416315,0.09203601831961822,0.4375,,,
lightgbm,random_cv,15,-0.10757817576088596,-0.08721115321701978,0.00042724609375,,,
mlp_regressor,group_aut,5,-15.86260695574991,-0.020045848075087025,0.625,-16.207540698897734,-34.59132552481547,1.3892184347491126
mlp_regressor,group_exp,5,1.0668997859375582,0.5206217355105243,0.0625,,,
mlp_regressor,random_cv,15,0.3164979016166141,0.3352558485617093,0.00030517578125,,,
