regime,split_id,model,r2,rmse,mae,n_train,n_test,inner_best_rmse,n_candidates
random_cv,random_cv_01,elastic_net,0.47854408592342557,1.282607703644059,0.4816773495844202,807,202,1.651947278937324,30
random_cv,random_cv_01,lightgbm,0.9268731793822821,0.48031194930952414,0.18011623243744512,807,202,0.6878126944108554,16
random_cv,random_cv_01,mlp_regressor,0.8819081522640437,0.6103725644278538,0.21521472046700704,807,202,0.8365305457307428,12
random_cv,random_cv_02,elastic_net,0.49909617651500404,1.4638033532032044,0.5007945109101662,807,202,1.5948170492198637,30
random_cv,random_cv_02,lightgbm,0.9351224833912539,0.5268083780097083,0.19648979746796347,807,202,0.7164843165506458,16
random_cv,random_cv_02,mlp_regressor,0.8402199498505011,0.8267359840048824,0.2434065123453203,807,202,0.8882979420048521,12
random_cv,random_cv_03,elastic_net,0.4047705419087472,1.418096367793498,0.4873392522974731,807,202,1.6249756396527637,30
random_cv,random_cv_03,lightgbm,0.897562824391013,0.5882911759403129,0.18217441211896382,807,202,0.6774933977761,16
random_cv,random_cv_03,mlp_regressor,0.7510444542594106,0.9171163563808825,0.2474684324907295,807,202,0.8607693697359002,12
random_cv,random_cv_04,elastic_net,0.41683165100353636,1.9676133883182627,0.8195281596128322,807,202,1.4982367650646498,30
random_cv,random_cv_04,lightgbm,0.8696475838862268,0.9302556987123308,0.37694478610503807,807,202,0.7124548020187543,16
random_cv,random_cv_04,mlp_regressor,0.7825335617156617,1.201541892321486,0.49698488653268713,807,202,0.9693407638441179,12
random_cv,random_cv_05,elastic_net,0.4308312640826867,1.8548768643385136,0.6619759520611546,808,201,1.614604998847323,30
random_cv,random_cv_05,lightgbm,0.9178655313315958,0.7046237738377109,0.22822428411758802,808,201,0.7269935037755246,16
random_cv,random_cv_05,mlp_regressor,0.6927481957924637,1.3628303195551292,0.38951976342285566,808,201,1.0137425783070113,12
random_cv,random_cv_06,elastic_net,0.5403066328841073,1.3238562202511468,0.5006348982885889,807,202,1.6316296417106984,30
random_cv,random_cv_06,lightgbm,0.8763241451504498,0.6866717206156524,0.21428007142703046,807,202,0.627450155111297,16
random_cv,random_cv_06,mlp_regressor,0.7131758653470692,1.0457179133854295,0.3125672875378068,807,202,0.8975129854907532,12
random_cv,random_cv_07,elastic_net,0.4580469916849964,1.6472186083978226,0.6337071316139113,807,202,1.5798218024714237,30
random_cv,random_cv_07,lightgbm,0.9170549126283037,0.6444151746472983,0.23177975133137,807,202,0.7583509406889964,16
random_cv,random_cv_07,mlp_regressor,0.8333482298316088,0.9134302492889608,0.29744739459648334,807,202,0.8829900454751103,12
random_cv,random_cv_08,elastic_net,0.3757942834525383,1.7928994817503692,0.6232780980593,807,202,1.602220634744635,30
random_cv,random_cv_08,lightgbm,0.8705216645420957,0.8165647435287428,0.285226269580355,807,202,0.6790113601370322,16
random_cv,random_cv_08,mlp_regressor,0.8542914614077263,0.8662326957461836,0.2753430609108237,807,202,0.854430558672177,12
random_cv,random_cv_09,elastic_net,0.4529184886577109,1.6027211024883703,0.5989568848913602,807,202,1.4958702338420733,30
random_cv,random_cv_09,lightgbm,0.8455845633978192,0.8514855711600946,0.3028039370252778,807,202,0.7205004444563481,16
random_cv,random_cv_09,mlp_regressor,0.7970723321030675,0.9761185550235479,0.31606433053795746,807,202,0.8349205727548588,12
random_cv,random_cv_10,elastic_net,0.49500536724512445,1.5974601493113816,0.5619565054371322,808,201,1.6223265135819531,30
random_cv,random_cv_10,lightgbm,0.9408807772299691,0.5465765684352009,0.19265989173787892,808,201,0.8056796701240578,16
random_cv,random_cv_10,mlp_regressor,0.8760064536267664,0.7915642881559193,0.27404935016653786,808,201,0.853730661455445,12
random_cv,random_cv_11,elastic_net,0.40558826475368703,1.7982302513277324,0.6948259286958174,807,202,1.5499258072288673,30
random_cv,random_cv_11,lightgbm,0.9336889986915523,0.6006125530953708,0.2509421370689462,807,202,0.7278004424094546,16
random_cv,random_cv_11,mlp_regressor,0.5784007469747796,1.514438104679296,0.5337385587167399,807,202,0.9640355958648288,12
random_cv,random_cv_12,elastic_net,0.4115365875210858,1.897647736487384,0.6176736818908496,807,202,1.534292032795369,30
random_cv,random_cv_12,lightgbm,0.9051203950177379,0.7619777636515291,0.2665575758764916,807,202,0.7723114749353185,16
random_cv,random_cv_12,mlp_regressor,0.8684227869506508,0.8973176400469511,0.31910106274239786,807,202,0.8620236553689729,12
random_cv,random_cv_13,elastic_net,0.4873020941580515,1.6234218785639434,0.5714839088081034,807,202,1.5465950472010959,30
random_cv,random_cv_13,lightgbm,0.9023200097379861,0.7086037178599541,0.22924887690313842,807,202,0.7004379451520532,16
random_cv,random_cv_13,mlp_regressor,0.887294813826436,0.7611540686430607,0.2471866101367579,807,202,0.7623725571304395,12
random_cv,random_cv_14,elastic_net,0.4707106694081151,1.5230942433591586,0.5410772104521581,807,202,1.6795048351597426,30
random_cv,random_cv_14,lightgbm,0.9577750420874548,0.4301944662272641,0.16155594282259503,807,202,0.7788337747378548,16
random_cv,random_cv_14,mlp_regressor,0.9317268520138278,0.5470224759777287,0.177750620868654,807,202,0.9249627105276066,12
random_cv,random_cv_15,elastic_net,0.5576193756240393,1.0706419762742811,0.4958020616320831,808,201,1.662623824877587,30
random_cv,random_cv_15,lightgbm,0.8856001265176783,0.5444512385004757,0.2114684718871253,808,201,0.7144492927456387,16
random_cv,random_cv_15,mlp_regressor,0.758753655032483,0.7906360071514057,0.2754871977933376,808,201,0.7544193069287382,12
group_exp,group_exp_01,elastic_net,0.26776463392981753,2.4264392790872575,0.9401808043854628,806,203,1.484906429040595,30
group_exp,group_exp_01,lightgbm,0.6003923444756607,1.7925074818251336,0.6537854469363995,806,203,1.0543530868870798,16
group_exp,group_exp_01,mlp_regressor,0.47436984177951225,2.055815872186938,0.678460543589242,806,203,1.098241054780866,12
group_exp,group_exp_02,elastic_net,0.1953558355812941,0.9892891165469923,0.40137347787236294,806,203,1.7449642770217264,30
group_exp,group_exp_02,lightgbm,0.7322080360249852,0.5707160267510144,0.2597767780734338,806,203,1.222377776424541,16
group_exp,group_exp_02,mlp_regressor,0.7370001728308799,0.5655864936762077,0.28923705026322866,806,203,1.5840152821949576,12
group_exp,group_exp_03,elastic_net,0.3183977520612743,1.784706646077438,0.6536167535843086,806,203,1.8855096801048916,30
group_exp,group_exp_03,lightgbm,0.9225215007285068,0.6017165182956857,0.26877170358589497,806,203,1.420653727806265,16
