regime,model,n_splits,r2_mean,r2_sd,rmse_mean,rmse_sd,mae_mean,mae_sd,rmse_median
group_aut,elastic_net,5,-2.3807347436880404,3.8467526477922203,1.7121581314077177,1.6215373554868238,0.9039483626324465,0.7669195448681982,1.5084577912418031
group_aut,lightgbm,5,-8.389545253682984,17.003626151745323,1.7988650110286613,1.5479308654466089,0.8760421191309602,0.7742845379965319,1.4290069002776684
group_aut,mlp_regressor,5,-54.89258107370809,109.53617403357501,3.6180540636504688,3.831127668228446,1.700622016007753,1.7098220614684756,2.250782783256531
group_exp,lightgbm,5,0.6575797868884499,0.1892493544737374,1.1234800995521543,0.5848344806072561,0.4495868689951944,0.23166258731479467,0.9653097106168984
group_exp,elastic_net,5,0.1769151843065265,0.3465089494329652,1.870553022625121,1.0067619106822467,0.7502845611737914,0.4274710107275424,1.784706646077438
group_exp,mlp_regressor,5,-0.2516168213456426,1.8308899166625392,2.1638522662421353,2.1486120104714677,0.7098345367476172,0.6175008388278245,1.4321100725268674
random_cv,lightgbm,15,0.9054628158255613,0.031417732619569545,0.654789632902078,0.14323838858454607,0.23403149586048047,0.05609256465731654,0.6444151746472983
random_cv,mlp_regressor,15,0.8031298340664331,0.09267049493506248,0.9348152743192478,0.26049161531486253,0.3080886526177397,0.09784240022652031,0.8973176400469511
random_cv,elastic_net,15,0.45899349832152375,0.05219463117968188,1.5909459550339418,0.25093111819780184,0.5860474356156901,0.09376809987167169,1.6027211024883703
